ID,Article,R1/R2,How many experiments were covered? ,What problems were encountered during the reproduction?,What assumptions did you make?,"What hardware was the reproduction attempts performed with (CPU, RAM, GPU if relevant)? Which operating system? Which third-party libraries were used?",Summary of results,Evaluation of results,What are the most probable causes of the reproduction error?,Was the reproduction a success?,How many hours were used in the reproduction attempt?
1,Measuring the Objectness of Image Windows,R1,"- One of four experiments was attempted
- The attempted experiment was the only one with clear quantitative results","- Experiment code was not shared (1)
- Method code was available and versioned, but we could not determine which version was used in the original experiment (6)
- The random number generator used, and its seed, is not specified (8)
","- The available method code is the same as, or equivalent with, the code used in the original experiment
- The default parameters provided together with the method code are the ones learned in the original experiment","- CPU: Intel i7-4720HQ
- RAM: 8 GB
- OS: Windows 10 Home, version 10.0.16299
- Language: Matlab 9.3.0.713579 (R2017b)
",Measuring the objectness of image windows,"- The results achieved in the reproduction are close to the original values, but differ with 1-2 percentage points in most cases
- In most cases the reproduced results are worse than the original results, which seems to indicate some systematic error in the reproduction
- The reproduction is consistent with the otiginal results, since both the original and reproduced results outcompete the comparative algorithm, OD","- The experiment code of the reproduction attempt does not correctly implement the original experiment
- The parameters provided with the method code are not the ones which were used in the original experiment. The provided parameters might have been learnt from a different dataset, aimed at mote generality
- The random numbers used in the reproduction and original experiment are not the same. This is almost certainly true, but unlikely to be the cause of the error since the reproduction is systematically worse",No?,40
2,Generalized Correntropy for Robust Adaptive Filtering,R2,"- Two of four experiments were conducted
- Did not have time for the other ones","- The math was challenging so it was difficult to understand how it worked and how to implement (10)
- Was unsure what was the algorithm and what was supporting material (11)
- Difficult to know if simulations were correctly implemented, especially the first one (POD) (10)
- Results were shown in graph form (19)","- The input to the algorithm was simply the original weights with the input signal and noise signal added
- By binary distribution they meant Bernoulli distribution","- CPU: Intel 5Y10
- RAM: 8GB
- OS: Windows 10 Home, Version: 17134.48
- Language: Python 3.6
- Libraries: numpy, enum, math, matplotlib.pyplot, json, jsonlines",Generalized Correntropy for Robust Adaptive Filtering,"- The first simulation achieved the same results (difficult to know whether the simulation were correctly implemented
- The convergence for the last simulation were a lot slower (closer to 8000 iteration than 2000)
- The difference between the results of the different hyper-parameters were not consistent with the article","- Wrong implementation of the algorithm
- Wrong implementation of the simulations",No,40
3,Development and investigation of efficient artificial bee colony algorithm for numerical function optimization,R2,- 23 out of 23 functions were run with two methods,"- The selection (roulette) of solutions used for onlooker bees (11)
- Were not able to achieve the intended results for the original ABC algorithm that the two others were based on

",- The roulette selection is run for each onlooker bee,"- CPU: Intel i5-4670
- RAM: 8 GB
- OS: Windows 10 Pro, version 1709
- Language: Java 1.8 ",Development and investigation of efficient artificial bee colony algorithm for numerical function optimization,"- The results were in some cases better, in some cases the same and is some cases worse","- The original ABC algorithm implemented based on the article did not recieve the same results. This makes it seem like there are something wrong with the implementation
- Wrong selection of possible food sources for the onlookers
- Test functions incorrectly implemented",No,40
4,Blind Image Quality Assessment: A Natural Scene Statistics Approach in the DCT Domain,R1,"- One of three experiments was reproduced
- The attempted experiment was the only one which was R1 reproducible given the available code","- The experiment code was not available (1)
- The method code was only partially available. The training component of the method was not shared, and limited which experiments were possible to reproduce (2)
- The method code is poorly documented, with some part commented out without adequate explanation (3)
- Several sets of learned parameters were provided, but only one of the sets matched a set used in the original experiment (5)
- Code was not versioned (6)
- The random number generator, and its seed, is not specified (8)","- The method code available online is the same as was used in the original experiment
- The parameters included with the method code from training on the LIVE dataset are the same as was used in the original experiment","- CPU: Intel i7-4720HQ
- RAM: 8 GB
- OS: Windows 10 Home, version 10.0.16299
- Language: Matlab 9.3.0.713579 (R2017b)
",Blind Image Quality Assessment,"- The accuracy achieved in the reproduction is 1-3 percent lower than the original accuracy in all cases. This suggests there is some error in the reproduction causing lower performance
- The reproduction is consistent since the reproduced and original results achieve the same levels of success compared to the reference algorithms","- The method code used in the reproduction attempt is not the same as was used in the original experiment. We assume it is the same, but the lack of documentation creates some uncertainty
- The experiment is not implemented correctly
- The learned parameters used in the reproduction are not the same as was used in the original experiment
- The random numbers used are not the same. While certainly true, it is unlikely to be the source of the worse performance in the reproduction attempt",No,25
5,Cooperatively Coevolving Particle Swarms for Large Scale Optimization,R2,"- 7 of 11 functions
- The function set consists of 7 original functions and 4 additional functions which are rotated versions of 4 of the original functions
- The rotation matrix was not given, and we therefore decided not to include these functions","- The shifts for the functions are not provided (8)
- Although pseudocode is provided, there is uncertainty in how to count the number of function evaluations per iteration (11)
- The method for ensuring that parameters stay within their range is not described (9)","- The minimum number of function evaluations should be used, even if this does not exactly match the pseudocode
- When a parameter should pass outside its valid range, we instead set it to a random value between its previous value and the maximum (or minimum) value","- CPU: Intel i7-4720HQ
- RAM: 8 GB
- OS: Windows 10 Home, version 10.0.16299
- Language: Java 1.8.0
- Libraries: Commons Math v. 3.6.1
",Cooperatively Coevolving PSO,"- Running a two-tailed t-test to determine if the original and reproduced values can have the same mean we reject the null hypothesis of same mean in almost all instances
- In most instances the original solutions are superior to the reproduction, however this is not always the case. It is therefore difficult to conclude that the reproduction is entirely inferior
- The reproduction is not entirely consistent, since in some cases the reproduced result differ from the original results in its relationship with the reference algorithm","- Errors in method or experiment implementation
- Wrong assumptions",No,40
6,Learning Sparse Representations for Human Action Recognition,R2,"- Only one experiment performed on one of four datasets was attempted reproduced
- We were only able to cover one experiment due to the time it took to re-implement the method","- The method and topic was entirely new, and it took significant time to understand it
- One of the parameters for the method, the threshold, was poorly defined (13)
- According to the paper, the dataset we used contained 90 examples. However, we found 93 examples in the dataset we downloaded. For one of the test subjects, two examples had been generated for three of the classes (15)","- Used the Harris-Laplace keypoint detector
- Used a threshold parameter value of 10E^10 (Based on empirical testing)
- Excluded the three extra examples in the downloaded dataset","- CPU: Intel i7-4720HQ
- RAM: 8 GB
- OS: Windows 10 Home, version 10.0.16299
- Language: Matlab 9.3.0.713579 (R2017b)
- Libraries: Piotr's Computer Vision Matlab Toolbox, Keypoint Extraction, Orthogonal Matching Pursuit",Learning Sparse Representations for Human Ac. Rec.,"- The accuracy achieved in the reproduction is significantly lower than in the original experiment. This seems to indicate some error in the reproduction implementation
- The reproduction is not consistent with the original result when comparing it to the reference algorithms","- Errors in method or experiment implementation seems like the most likely causes for the reproduction error considering our uncertainty with the topic
- Third party libraries differ in implementation from the original methods used
- The threshold parameter does not have the same value",No,40
7,Visualizing and Understanding Convolutional Networks,R2,"- The reproduction of one experiment (one CNN architecture with one dataset) was attempted
- The paper uses four datasets, and 12 different architectures. Not all architectures are tested on all datasets","- The magnitude of the dataset (130 GB training set) was a challenge (20)
- Some parts of the experiment, such as how to evaluate validation data, was poorly documented (10)
- Some parts of the implementation, such as hwo to process data set and perform data augmentation, was poorly documented (11)","- Made several assumptions about the experiment and training procedure, including how to perform data augmentation, and how to test on validation set. The assumptions were mostly based on descriptions from other CNN papers, primarily the original AlexNet paper","- CPU: Intel i7-5930K
- RAM: 48 GB
- GPU: Nvidia GeForce GTX TITAN X
- OS: Ubuntu Linux 16.04.3 LTS
- Language: Python 2.7.12
- Libraries: Theano 1.0.1, Keras 2.1.6, Numpy 1.14.3, OpenCv 3.4.0.12",No results,No results,,,40
8,iSuc-PseOpt: Identifying lysine succinylation sites in proteinsby incorporating sequence-coupling effects into pseudocomponents and optimizing imbalanced training dataset,R2,"- Only one quantitative experiment was presented in the paper, and was attempted reproduced","- The method for insering hypothetical examples in the training set is not described. Multiple methods are suggested, but it is not stated which is used. (12)
- The method for converting the input data to feature vectors is not well described in the paper, but is described in a different paper. Furthermore, how to treat wildcard symbols is not specified (11)
- The augmented dataset used in the training phase is not shared (17)","- Used the SMOTE method for inserting hypothetical examples, based on empirical testing
- When converting input data to feature vectors an undetermined amino-acid, X, is replaced by the most probable amino-acid","- CPU: Intel i7-4720HQ
- RAM: 8 GB
- OS: Windows 10 Home, version 10.0.16299
- Language: Matlab 9.3.0.713579 (R2017b)
- Libraries: Matlab Random Forest
",iSuc-PseOpt,"- For every tested type of cross-validation, the reproduced method outperforms the original method in every metric except specificity
- The reproduced implementation does not produce the exact same results as the original implementation, but it is not possible to determine if it is strictly better or worse
- The reproduction is consistent with the original results when comparing it to the reference algorithm","- Errors in method implementation
- Differences in experiment setup
- Because of hypotetical example insertion and redundant example removal, the data set used in the reproduction is not exactly the same as the original, and this may be a cause for differences in results",No?,22
9,A modified Artificial Bee Colony algorithm for real-parameter optimization,R2,"68 in total, 8 of them covered (corresponding to the first two tables for functions 1-8 for various parameters) 
Rest left out due to time constraints.","* [14] the formula for one of the functions (schwefel) is likely wrong
* [8,14] the pseudocode does not make sense at times; I had to make an assumption about the site selection
* [14] the parameters listed in the tables of the experiment I reproduced are misaligned and thus hard to determine
* [14] Other typographical errors (tables say MR where it meant SF, forward slashes in numerical tables) 
* [9] it is difficult to tell what paremeters are used for what experiments; they are presented a bit all over the place
* [10] not clear exactly how Max Function Evaluations is calculated
* [10,13] some aspects (potentially classifiable as a parameter) are not explicitly listed (max renewals per cycle)
* [13] parameter unlisted: initial scaling factor for adaptive scaling (ASF)
* [7] Randomness, even beween own runs with different seeds, causes the results to vary. Knowing all the random values of the original paper might still not be enough, as knowing exactly how they are used without R1 is difficult though. 
","* [14] modified implementation of schwefel function
* [11] The parameters I used are assumptions about which were used for each result
* [6] pseudocode: The exploitation stage (onlooker bees) samples sites by roulette wheel selection by fitness
* [6] max function evaluations adds +1 for any call to fitness() regardless of whether it is during improvement or scouting
* [11] max 1 renewal per cycle (mentioned briefly but not explicitly)
","The results in mprun1.run are from an invocation of main.py, and were run on
a machine with the following specifications:

OS: Ubuntu Linux 16.04.4 LTS
Kernel: Linux 4.13.0-37-generic SMP x86_64
CPU: Intel(R) Xeon(R) CPU X5650  @ 2.67GHz


The results in mprun2.run are from an invocation of main.py, and were run on
a machine with the following specifications:

OS: Ubuntu Linux 16.04.3 LTS
Kernel: Linux 4.4.0-109-generic SMP x86_64
CPU: Intel(R) Core(TM) i7-5930K CPU @ 3.50GHz


Packages:
* python-3.5.2
* numpy-1.14.0
* scipy-1.0.0
",https://github.com/Capeo/AIReproducibility/blob/master/AModifiedABCAlgorithmOpt/RESULTS/miscellaneous_results/mprun1.table,"* Essentially a complete failure to reproduce the results except for the simplest functions (sphere)
* The others are different enough to fail the Welch t-test even for p=0.95
* most results also fail the difference < 10^(-7) limit that the paper sets as insignificant
","* [2] Error in assumption about the onlookers
* [4] Wrong counting of e.g Max function evaluations -- though I have tried running with e.g higher MFE with no apparent improvement.
* [10] Simply random variations between runs
* [5] Method implementation error
* [6] Experiment implementation error

Too few results are similar enough that the few misaligned parameters alone being interpreted wrong should be the probable cause.",No,40
10,RASL: Robust alignment by sparse and low-rank decomposition for linearly correlated images,R1,"31 in paper, 24 covered by code","* [] The results in the paper are shown as images (e.g many tiled images of faces), these are supposedly aligned. It is hard to say what the degree of alignment is. 
* [1] The experiment code does not cover all the experiments (e.g the quantitative statistics table)
* [1] The correspondence between the code and the experiments is not clear; e.g the code calls the various programs for ""examples"" (in the sense of demo) rather than ""experiment"", and although code files reference figures (e.g ""Figure 7 in the paper""), the output format of the figures from the code does not match that of the paper.",,,"* Qualitative figures of tiled images
","* I can not tell the degree of similarity between the pictures I get from running compared to the ones in the paper.
","* [15] I can not tell the degree of similarity between the pictures I get from running compared to the ones in the paper.
",No?,<10
